question,grading_notes,retriever,response,score
Who hosted the 89th Academy Awards ceremony for the first time?,A correct answer must name Jimmy Kimmel and indicate that he hosted the ceremony for the first time.,hybrid,"Jimmy Kimmel hosted the 89th Academy Awards ceremony for the first time: the excerpt says, “**Comedian Jimmy Kimmel hosted the ceremony for the first time**.”",pass
What is the poker alias used by Russian professional player Alexander Kostritsyn on PokerStars and Full Tilt Poker?,"Correct answer must identify both aliases mentioned in the lead: ""joiso"" on PokerStars and ""PostflopAction"" on Full Tilt Poker.",hybrid,Alexander Kostritsyn plays under the alias **“joiso” on PokerStars** and **“PostflopAction” on Full Tilt Poker**: “Kostritsyn plays under the alias joiso on PokerStars and PostflopAction on Full Tilt Poker.”,pass
"Which team most recently won the Stanley Cup, and in what years did they win it according to the lead text?",A correct answer must identify the Florida Panthers as the most recent Stanley Cup champions and state that they won in 2024 and 2025.,hybrid,"According to the lead text, the **Florida Panthers** are the most recent Stanley Cup champions: “**The most recent Stanley Cup champions are the Florida Panthers, who won the trophy in 2024 and 2025.**”",pass
"Who are the four cyclists who have each won the Tour de France five times, according to the lead text?","A correct answer must name all four riders: Jacques Anquetil, Eddy Merckx, Bernard Hinault, and Miguel Induráin. Minor spelling/diacritic variations are acceptable.",hybrid,"According to the lead text, the four cyclists are **Jacques Anquetil, Eddy Merckx, Bernard Hinault, and Miguel Induráin** — it says they ""have won the most Tours with five each.""",pass
"What was Joseph Warren Stilwell's nickname, and during which World War II theater did he serve as a United States Army general?","Correct answer must identify his nickname as ""Vinegar Joe"" and mention that he served in the China Burma India theater during World War II.",hybrid,Joseph Warren Stilwell’s nickname was **“Vinegar Joe”** — the excerpt says he was “known as **‘Vinegar Joe’** Stilwell.” He served in the **China Burma India theater** during World War II; the excerpt states he “served in the **China Burma India theater** during World War II.”,pass
"When did Seapoint railway station open, and what was its original name?",Correct answer must mention that the station opened on 1 July 1862 and that it was originally called Monkstown & Seapoint (or Monkstown and Seapoint).,hybrid,"Seapoint railway station opened on **1 July 1862**, and it was originally called **“Monkstown & Seapoint.”** The excerpt says: “**The station opened on 1 July 1862 and was originally called Monkstown & Seapoint**.”",pass
"What invention is Alexander Graham Bell credited with patenting, and in what year did he receive the first U.S. patent for it?","Correct answer must identify the invention as the first practical telephone and state that he received the first U.S. patent for it in 1876 (March 7, 1876 is acceptable).",hybrid,"Alexander Graham Bell is credited with patenting “the first practical telephone.” The excerpt says he “was credited with patenting the first practical telephone” and that he was “awarded the first U.S. patent for the telephone, on March 7, 1876.”",pass
"According to the article, which Major League Baseball team holds the record for the longest overall winning streak, and how many consecutive games did it win?",A correct answer must name the 1916 New York Giants and state that they won 26 consecutive games.,hybrid,"According to the article, the record is held by the **1916 New York Giants**, who won **26 consecutive games**.

The article says: “**The National League’s 1916 New York Giants hold the record of winning 26 consecutive games.**”",pass
When did Clyfford Still’s shift from representational to abstract painting occur?,Correct answer must state that the shift occurred between 1938 and 1942.,hybrid,"Clyfford Still’s shift from representational to abstract painting occurred **between 1938 and 1942**: the excerpt says, “**His shift from representational to abstract painting occurred between 1938 and 1942**.”",pass
"Who directed the 1981 film Escape from New York, and who stars as Snake Plissken?",Correct answer must name John Carpenter as the director and Kurt Russell as the actor who plays Snake Plissken.,hybrid,"The 1981 film *Escape from New York* was directed by **John Carpenter**: it says, “**Directed by John Carpenter**.”

Snake Plissken is played by **Kurt Russell**: the article states, “**Kurt Russell as Lieutenant S.D. Bob ""Snake"" Plissken**.”",pass
"What are some of the television roles Saffron Burrows is known for, according to the article?","A correct answer must name at least one of the television roles listed in the lead, such as Lorraine Weller, Dr. Norah Skinner, Detective Serena Stevens, Victoria Hand, Cynthia Taylor, or Dottie Quinn, and identify them as TV characters/roles played by Saffron Burrows.",hybrid,"According to the Saffron Burrows article, she is known on television for starring as:

- “Lorraine Weller on *Boston Legal*”
- “Dr. Norah Skinner on *My Own Worst Enemy*”
- “Detective Serena Stevens on *Law & Order: Criminal Intent*”
- “Victoria Hand on *Agents of S.H.I.E.L.D.*”

The article also says she “appeared as Cynthia Taylor on the Prime Video series *Mozart in the Jungle* and as Dottie Quinn in the Netflix series *You*.”",pass
"In what year was Emmanuel Macron elected President of France, and whom did he defeat in the second round?",Correct answer must mention that he was elected in 2017 and that he defeated Marine Le Pen in the second round.,hybrid,"Emmanuel Macron was elected President of France in **2017**. He defeated **Marine Le Pen** in the second round: “**Macron was elected president in May 2017 with 66% of the second-round vote, defeating Marine Le Pen**.”",pass
"What major championship did the 1996–97 Detroit Red Wings win, and when was their previous Stanley Cup before that?","Correct answer must mention that the team won the Stanley Cup and that it was their first Stanley Cup since the 1954–55 NHL season (or 1955, as stated in the lead).",hybrid,"The 1996–97 Detroit Red Wings won the **Stanley Cup**. The excerpt says, “The highlight of the Red Wings season was winning the Stanley Cup, **their first since 1955**,” and also that they won “their first Stanley Cup since the **1954–55 NHL season**.”",pass
"What major international medal did Nikoleta Kyriakopoulou win at the 2015 World Championships in Beijing, and what height did she clear for it?",A correct answer must mention that she won the bronze medal and that she cleared 4.80 metres (4.80m) at the 2015 World Championships in Beijing.,hybrid,"Nikoleta Kyriakopoulou won the **bronze medal** at the 2015 World Championships in Beijing. The excerpt says she won it “**jumping 4.80m**” and also lists her result as “**World Championships Beijing, China 3rd 4.80 m**.”",pass
"How many NBA championships did Michael Jordan win with the Chicago Bulls, and in what years did those championship seasons occur?","A correct answer must state that he won six NBA championships with the Chicago Bulls, and it should name the years as 1991, 1992, 1993, 1996, 1997, and 1998.",hybrid,"Michael Jordan won **6 NBA championships** with the Chicago Bulls. The championship seasons were **1991, 1992, 1993, 1996, 1997, and 1998**.

As the excerpt says, he won “**six NBA championships with the Chicago Bulls**” and the Bulls’ titles are listed as “**1991, 1992, 1993, 1996, 1997, 1998**.”",pass
"What historical event does the Bayeux Tapestry depict, and who led the Norman side in that event?","Correct answer must mention the Norman Conquest of England in 1066 and identify William, Duke of Normandy, as the leader of the Norman side.",hybrid,"The Bayeux Tapestry depicts “the events leading up to the Norman Conquest of England in 1066 … culminating in the Battle of Hastings.” It shows the Norman invasion “led by William, Duke of Normandy.”

So, the historical event is the **Norman Conquest of England / Battle of Hastings**, and the Norman side was led by **William, Duke of Normandy (William the Conqueror)**.",pass
Who was the last native pharaoh of Egypt mentioned in the lead text?,A correct answer must identify Nectanebo II. It is acceptable to mention that he was the last native pharaoh and/or that he belonged to the short-lived 30th Dynasty.,hybrid,The last native pharaoh mentioned in the lead text is **Nectanebo II**. The excerpt says: **“Last native king Nectanebo II c. 360–342 BC”** and also that **“The last native pharaoh was Nectanebo II of the short-lived 30th Dynasty.”**,pass
"Who was Melville Fuller, and what position did he hold in the United States Supreme Court from 1888 until his death in 1910?","Correct answer must identify Melville Weston Fuller as an American politician, attorney, and jurist, and state that he served as the eighth Chief Justice of the United States (the Supreme Court) from 1888 until 1910/his death.",hybrid,"Melville Fuller was ""an American politician, attorney, and jurist"" who served as ""the eighth chief justice of the United States from 1888 until his death in 1910.""",pass
"What type of video game is Final Fantasy VII, and on which platform was it developed and published?",A correct answer must identify Final Fantasy VII as a 1997 role-playing video game and state that it was developed and published by Square for the PlayStation.,hybrid,"Final Fantasy VII is a ""1997 role-playing video game"" and it was ""developed and published by Square for the PlayStation.""",pass
"How much damage did the 2011 Joplin tornado cause, and what makes it historically notable in terms of cost?","A correct answer must mention that the damage totaled $2.8 billion, with an approximate modern equivalent of about $4 billion, and that this made it the costliest single tornado in U.S. history.",hybrid,"The 2011 Joplin tornado caused **$2.8 billion in damage**: the excerpt says the damage “**amounted to a total of $2.8 billion**” and that it “**destroyed over 4,000 houses**” and damaged “**nearly 8,000 buildings**.”

It is historically notable because it was “**the costliest single tornado in U.S. history**” and also appears in the list of “**10 costliest U.S. tornadoes**” as **Joplin, Missouri — $2,800 million**.",fail
"Who was the first player to receive the Pete Rozelle Trophy for Super Bowl MVP, and at which Super Bowl was it first awarded?",Correct answer must name Ottis Anderson and Super Bowl XXV. Both the player and the specific Super Bowl number must be included.,hybrid,"The Pete Rozelle Trophy was first awarded at **Super Bowl XXV**, and **Ottis Anderson** was the first player to receive it.

The article says: “**At Super Bowl XXV, the league first awarded the Pete Rozelle Trophy ... Ottis Anderson was the first to win the trophy.**”",pass
"Who directed Bad Boys II, and in what year was the film released?",A correct answer must identify Michael Bay as the director and 2003 as the release year.,hybrid,"Bad Boys II was directed by **Michael Bay** and was released in **2003**: it is described as ""a **2003** American action comedy film directed by **Michael Bay**.""",pass
When did the Philadelphia Waterdogs hire Bill Tierney as head coach?,A correct answer must state that Bill Tierney was hired in March 2024; mentioning that he became head coach is acceptable.,hybrid,"The Philadelphia Waterdogs hired Bill Tierney as head coach in **March 2024**. The excerpt says: **""In March 2024 the Waterdogs hired Bill Tierney as Head Coach.""**",pass
"According to the lead text, what were the two main coalitions that fought in World War II?",A correct answer must name both coalitions: the Allies and the Axis powers.,hybrid,"According to the lead text, World War II was fought between **“the Allies and the Axis powers.”**",pass
"Which radio station broadcasts on 89.5 FM in Curridabat, San José, Costa Rica?","A correct answer must name LIFE 895 FM and identify Curridabat, San José, Costa Rica as the location.",hybrid,"The radio station is **LIFE 895 FM** — the excerpt says: “**LIFE 895 FM in Curridabat, San José**.”",pass
