question,grading_notes,retriever,response,score
"What is Oprah Winfrey best known for according to the lead text, and for how long was her talk show broadcast nationally in syndication?","A correct answer must identify that she is best known for The Oprah Winfrey Show and state that it ran for 25 years, from 1986 to 2011, in national syndication.",hybrid,"According to the lead text, Oprah Winfrey “is best known for her talk show, *The Oprah Winfrey Show*,” which “ran in national syndication for **25 years**, from **1986 to 2011**.”",pass
What were the opening date of the original Salthill station and the date it reopened with DART service?,A correct answer must mention that the original station opened in May 1837 and that it reopened in 1984 with the arrival of DART services.,hybrid,"The original Salthill station “opened in **May 1837**,” and it “closed in 1960 and was electrified and **reopened in 1984** with the arrival of DART services.”",pass
"Which major championship did the 1996–97 Detroit Red Wings capture, and when was their prior Stanley Cup win before it?","Correct answer must mention that the team won the Stanley Cup and that it was their first Stanley Cup since the 1954–55 NHL season (or 1955, as stated in the lead).",hybrid,"The 1996–97 Detroit Red Wings captured the **Stanley Cup**. The article says, “**The highlight of the Red Wings season was winning the Stanley Cup, their first since 1955**.”

So their prior Stanley Cup win was in **1954–55**.",pass
"What was the NBC sitcom that made Jerry Seinfeld famous, and who did he create it with?",A correct answer must mention the sitcom Seinfeld and that Jerry Seinfeld co-created it with Larry David.,hybrid,"The NBC sitcom was **_Seinfeld_**, and Jerry Seinfeld created it with **Larry David**.

The excerpt says Seinfeld “gained stardom playing a fictionalized version of himself in the NBC sitcom **Seinfeld** … which he **co-created and wrote with Larry David**.”",pass
When did Clyfford Still transition from representational to abstract painting?,Correct answer must state that the shift occurred between 1938 and 1942.,hybrid,Clyfford Still’s shift from representational to abstract painting occurred **between 1938 and 1942**. The excerpt says: “**His shift from representational to abstract painting occurred between 1938 and 1942**.”,pass
"What is Sheffield United F.C.’s home stadium, and what are they called because Sheffield was known for cutlery production?","A correct answer must state that Sheffield United have played home games at Bramall Lane since their formation, and that they are nicknamed ""the Blades.""",hybrid,"Sheffield United F.C.’s home stadium is **Bramall Lane**. The article says they are nicknamed **""the Blades""** “**due to Sheffield's history of cutlery production**.”",pass
"What year was Warner Records established, and what parent company did it first operate under as a division?","A correct answer must state that Warner Records was founded on March 19, 1958, and that it began as the recorded music division of Warner Bros. Pictures (the American film studio).",hybrid,"Warner Records was established in **1958** — it says the label “**was founded on March 19, 1958**” and “**returned to the record business on March 19, 1958, with the establishment of its own recording division, Warner Bros. Records**.”

It first operated as a division of **Warner Bros. Pictures**: it “**was founded on March 19, 1958, as the recorded music division of the American film studio Warner Bros. Pictures**.”",pass
"According to the lead text, who does Christian tradition say appointed Hermagoras to lead the Christian community in Aquileia and consecrated him as bishop?","A correct answer must mention both Mark and Peter: Mark chose Hermagoras to lead the community, and Peter consecrated him bishop.",hybrid,"According to the lead text, Christian tradition says **Mark** chose Hermagoras “to serve as the leader of the nascent Christian community in Aquileia,” and **Peter** “consecrated [him] bishop.”",pass
"According to the article, what does “colt” mean in horse terminology?",Correct answers must state that a colt is an intact (uncastrated) male horse under four years of age. Mentioning that it is a male horse and that it is not castrated/uncastrated is essential; the age limit under four years should also be included.,hybrid,"In horse terminology, a “colt” is “an intact (uncastrated) male horse under four years of age.”",pass
"Which NBC sitcom made Jerry Seinfeld famous, and who was it co-created with?",A correct answer must mention the sitcom Seinfeld and that Jerry Seinfeld co-created it with Larry David.,hybrid,"Jerry Seinfeld became famous with the NBC sitcom **Seinfeld**, which he **“co-created and wrote with Larry David.”**",pass
Who was the first-time host of the 89th Academy Awards ceremony?,A correct answer must name Jimmy Kimmel and indicate that he hosted the ceremony for the first time.,hybrid,"The first-time host of the 89th Academy Awards ceremony was **Jimmy Kimmel**. The excerpt says, **“Comedian Jimmy Kimmel hosted the ceremony for the first time.”**",pass
"Who, according to the lead text, does Christian tradition say chose Hermagoras to lead the Christian community in Aquileia and made him a bishop?","A correct answer must mention both Mark and Peter: Mark chose Hermagoras to lead the community, and Peter consecrated him bishop.",hybrid,"According to the lead text, Christian tradition says **Mark chose Hermagoras** “to serve as the leader of the nascent Christian community in Aquileia,” and that **Peter** “consecrated [him] bishop.”",pass
"What is a colt called in horse terminology, according to the article?",Correct answers must state that a colt is an intact (uncastrated) male horse under four years of age. Mentioning that it is a male horse and that it is not castrated/uncastrated is essential; the age limit under four years should also be included.,hybrid,"According to the article, a colt is ""an intact (uncastrated) male horse under four years of age.""",pass
"Which four cyclists, as mentioned in the lead text, have each won the Tour de France five times?","A correct answer must name all four riders: Jacques Anquetil, Eddy Merckx, Bernard Hinault, and Miguel Induráin. Minor spelling/diacritic variations are acceptable.",hybrid,"The lead text says: “**Jacques Anquetil, Eddy Merckx, Bernard Hinault, and Miguel Induráin have won the most Tours with five each.**”",pass
"Who took the 2024 Yucatán Open doubles title, and which pair did they beat in the final?","Correct answer must name Thomas Fancutt and Hunter Reese as the champions and state that they defeated Boris and Stefan Kozlov in the final. Mentioning the final score 7–5, 6–3 is acceptable but not required.",hybrid,"Thomas Fancutt and Hunter Reese won the 2024 Yucatán Open doubles title. The article says they “won the title after defeating Boris and Stefan Kozlov 7–5, 6–3 in the final.”",pass
Who hosted the 89th Academy Awards for the first time?,A correct answer must name Jimmy Kimmel and indicate that he hosted the ceremony for the first time.,hybrid,Jimmy Kimmel hosted the 89th Academy Awards for the first time. The excerpt says: “Comedian **Jimmy Kimmel hosted the ceremony for the first time**.”,pass
"Who directed Escape from New York (1981), and who is the actor that portrays Snake Plissken?",Correct answer must name John Carpenter as the director and Kurt Russell as the actor who plays Snake Plissken.,hybrid,"*Escape from New York* (1981) was directed by **John Carpenter**. The actor who portrays Snake Plissken is **Kurt Russell** — the article’s cast lists, “**Kurt Russell as Lieutenant S.D. Bob ‘Snake’ Plissken**.”",pass
"When was Yale University founded, and where is it located?","A correct answer must state that Yale University was founded in 1701 and that it is located in New Haven, Connecticut, United States.",hybrid,"Yale University was founded on **October 9, 1701**: the excerpt says it was ""Established **October 9, 1701**."" It is located in **New Haven, Connecticut, United States** — the article states: ""Location **New Haven, Connecticut, United States**.""",pass
What is the capital city and biggest city of Shizuoka Prefecture?,Correct answer must name Shizuoka as the capital and Hamamatsu as the largest city.,hybrid,"The capital city of Shizuoka Prefecture is **Shizuoka**, and the largest city is **Hamamatsu**. The excerpt says: “**Shizuoka is the capital and Hamamatsu is the largest city in Shizuoka Prefecture**.”",pass
What poker screen name does Russian professional player Alexander Kostritsyn use on PokerStars and Full Tilt Poker?,"Correct answer must identify both aliases mentioned in the lead: ""joiso"" on PokerStars and ""PostflopAction"" on Full Tilt Poker.",hybrid,Alexander Kostritsyn plays under the alias **“joiso” on PokerStars** and **“PostflopAction” on Full Tilt Poker**. The excerpt says: “Kostritsyn plays under the alias joiso on PokerStars and PostflopAction on Full Tilt Poker.”,pass
"Which team won the 2024 Yucatán Open doubles championship, and who were their opponents in the final?","Correct answer must name Thomas Fancutt and Hunter Reese as the champions and state that they defeated Boris and Stefan Kozlov in the final. Mentioning the final score 7–5, 6–3 is acceptable but not required.",hybrid,"The champions were **Thomas Fancutt and Hunter Reese**. The article says they “**won the title after defeating Boris and Stefan Kozlov 7–5, 6–3 in the final**.”",pass
"Which team most recently won the Stanley Cup, and what years did they win it according to the lead text?",A correct answer must identify the Florida Panthers as the most recent Stanley Cup champions and state that they won in 2024 and 2025.,hybrid,"According to the excerpt, the **most recent Stanley Cup champions are the Florida Panthers**, who “**won the trophy in 2024 and 2025**.”",pass
"Who was the director of the 1981 movie Escape from New York, and which actor plays Snake Plissken?",Correct answer must name John Carpenter as the director and Kurt Russell as the actor who plays Snake Plissken.,hybrid,The director was **John Carpenter**. The actor who plays Snake Plissken is **Kurt Russell** — the article says: “**Directed by John Carpenter**” and “**Kurt Russell as Lieutenant S.D. Bob ‘Snake’ Plissken**.”,pass
"What year was Yale University established, and where is it located?","A correct answer must state that Yale University was founded in 1701 and that it is located in New Haven, Connecticut, United States.",hybrid,"Yale University was “**Established October 9, 1701**” and is located in “**New Haven, Connecticut, United States**.”",pass
Which city is the capital and also the largest in Shizuoka Prefecture?,Correct answer must name Shizuoka as the capital and Hamamatsu as the largest city.,hybrid,"Shizuoka City is the capital, and Hamamatsu is the largest city in Shizuoka Prefecture: “**Shizuoka is the capital and Hamamatsu is the largest city in Shizuoka Prefecture**.”",pass
"Who did the Boston Celtics beat in the 1986 NBA Finals, and what was the final series score?",A correct answer must name the Houston Rockets and state that the Celtics won the series four games to two (or 4–2).,hybrid,The Boston Celtics beat the **Houston Rockets** in the 1986 NBA Finals. The final series score was **4–2**: “**The heavily favored Celtics defeated the Rockets four games to two**.”,pass
"Who most recently won the Stanley Cup, and in which years did the lead text say they won it?",A correct answer must identify the Florida Panthers as the most recent Stanley Cup champions and state that they won in 2024 and 2025.,hybrid,"The most recent Stanley Cup champions are the **Florida Panthers**. The list article says: **“The most recent Stanley Cup champions are the Florida Panthers, who won the trophy in 2024 and 2025.”**",pass
"Which state was Jimmy Carter’s home state, the one where he was born and from which he was not well known beyond during his 1976 presidential campaign?","Correct answer must identify Georgia as Carter's home state. It should indicate that he was born in Plains, Georgia or simply in Georgia.",hybrid,"Jimmy Carter’s home state was **Georgia**. The excerpts say he was “**born and raised in Plains, Georgia**” and that during the 1976 campaign “because of her husband’s obscurity at the time, she often had to answer the question, ‘Jimmy who?’” since he was not well known outside his home state.",pass
"Who invented softball, where was it invented, and when was it invented?","A correct answer must name George Hancock, Chicago, and the year 1887.",hybrid,"Softball was invented by **George Hancock**. The article says, **“The game was created in 1887 in Chicago by George Hancock.”**

So the answer is:
- **Who:** George Hancock
- **Where:** Chicago
- **When:** 1887",pass
"What is the FGM-148 Javelin, and which older U.S. anti-tank missile did it replace in service?","A correct answer must identify the FGM-148 Javelin as an American-made man-portable anti-tank missile/system, and state that it replaced the M47 Dragon anti-tank missile in U.S. service.",hybrid,The FGM-148 Javelin is “an American-made man-portable anti-tank system” and a “fire-and-forget missile with lock-on before launch and automatic self-guidance.” It “replaced the M47 Dragon anti-tank missile in US service.”,pass
"What is the Super Bowl, and during which years has it been the final game of the NFL season?",A correct answer must identify the Super Bowl as the annual league championship game of the NFL in the United States and state that it has been the final game of every NFL season since 1966.,hybrid,"The Super Bowl is ""the annual league championship game of the National Football League (NFL) of the United States.""

It ""has served as the final game of every NFL season since 1966,"" with the article also noting that ""Since 2022, the game has been played on the second Sunday in February.""",pass
"Which team did the Celtics defeat in the 1986 NBA Finals, and how did the series end?",A correct answer must name the Houston Rockets and state that the Celtics won the series four games to two (or 4–2).,hybrid,"The Celtics defeated the **Houston Rockets** in the 1986 NBA Finals. The article says the Celtics “**defeated the Rockets four games to two**” and “**Boston wins the series, 4–2**.”",pass
"What was Joseph Warren Stilwell’s nickname, and in which World War II theater did he serve as a U.S. Army general?","Correct answer must identify his nickname as ""Vinegar Joe"" and mention that he served in the China Burma India theater during World War II.",hybrid,"Joseph Warren Stilwell’s nickname was **“Vinegar Joe”** — the excerpt says he was known as **“‘Vinegar Joe’, ‘Uncle Joe’, ‘Stitch’”** and that **“Joseph Warren ‘Vinegar Joe’ Stilwell … served in the China Burma India theater during World War II.”**

So, he served in the **China Burma India theater**.",pass
"What major title did the 1996–97 Detroit Red Wings win, and when had they last won the Stanley Cup before that?","Correct answer must mention that the team won the Stanley Cup and that it was their first Stanley Cup since the 1954–55 NHL season (or 1955, as stated in the lead).",hybrid,"The 1996–97 Detroit Red Wings won **the Stanley Cup**. The excerpt says it was “**their first since 1955**,” and also that they won “**their first Stanley Cup since the 1954–55 NHL season**.”",pass
"Who came up with softball, where did it originate, and what year was it created?","A correct answer must name George Hancock, Chicago, and the year 1887.",hybrid,"Softball was created by **George Hancock**. The article says, **“The game was created in 1887 in Chicago by George Hancock.”**

So:
- **Who:** George Hancock
- **Where:** Chicago, United States
- **When:** 1887",pass
"What is the FGM-148 Javelin, and what previous U.S. anti-tank missile was replaced by it in service?","A correct answer must identify the FGM-148 Javelin as an American-made man-portable anti-tank missile/system, and state that it replaced the M47 Dragon anti-tank missile in U.S. service.",hybrid,"The FGM-148 Javelin is described as an **""American-made man-portable anti-tank system in service since 1996""** and a **""fire-and-forget missile""** with automatic infrared guidance.

It **replaced the M47 Dragon anti-tank missile in US service**.",pass
"What is the opening date of Seapoint railway station, and what was its original name?",Correct answer must mention that the station opened on 1 July 1862 and that it was originally called Monkstown & Seapoint (or Monkstown and Seapoint).,hybrid,Seapoint railway station opened on **1 July 1862**. It was originally called **“Monkstown & Seapoint”** — the excerpt says: “**The station opened on 1 July 1862 and was originally called Monkstown & Seapoint**.”,pass
"How were clubs separated in the 1900–01 Football League season if they finished on equal points, and which factor was favored when teams had the same goal difference?","A correct answer must mention the goal average system (goals scored divided by goals conceded) and note that, when goal difference was the same, it favored teams that had conceded fewer goals.",hybrid,"Clubs finishing level on points were separated by **goal average**: “**clubs finishing level on points were separated according to goal average (goals scored divided by goals conceded)**.”

And “**In case one or more teams had the same goal difference, this system favoured those teams who had conceded fewer goals**.”",pass
"What was Joseph Warren Stilwell called by nickname, and what World War II theater did he serve in as a United States Army general?","Correct answer must identify his nickname as ""Vinegar Joe"" and mention that he served in the China Burma India theater during World War II.",hybrid,"Joseph Warren Stilwell was nicknamed **""Vinegar Joe""** — the excerpt says, **“Joseph Warren ‘Vinegar Joe’ Stilwell”** and also lists his nicknames as **“Vinegar Joe”, “Uncle Joe”, “Stitch”**.

He served in the **China Burma India theater** during World War II: the article says he **“served in the China Burma India theater during World War II”** and was **“commander of the US forces in the theater.”**",pass
"What decisive battle did General Simón Bolívar help the Colombian nationalists win over Spain on August 7, 1819?",The answer must identify the Battle of Boyacá.,hybrid,General Simón Bolívar led Colombian nationalists to victory over Spain in the **Battle of Boyacá**. The 1819 excerpt says: “**August 7 – Battle of Boyacá: Simón Bolívar is victorious over the Royalist Army in Colombia. Colombia acquires its definitive independence from Spanish rule.**”,pass
"What is the capital of Maine, and which city has the largest population there?",Correct answer must name Augusta as the capital and Portland as the most populous city.,hybrid,"Maine’s capital is **Augusta**: the excerpt says, “**Capital Augusta**.”

The city with the largest population in Maine is **Portland**: the excerpt says, “**most populous city is Portland**,” and also lists Portland as the largest municipality by population.",pass
"Who is the latest Associated Press NFL Most Valuable Player Award winner, and which team does he play for?",Correct answer must identify Matthew Stafford and the Los Angeles Rams.,hybrid,"The latest Associated Press NFL Most Valuable Player Award winner is **Matthew Stafford**, and he plays for the **Los Angeles Rams**: the excerpt says, “**The most recent winner is quarterback Matthew Stafford of the Los Angeles Rams**.”",pass
"How much destruction did the 2011 Joplin tornado cause, and why is it historically significant in terms of its cost?","A correct answer must mention that the damage totaled $2.8 billion, with an approximate modern equivalent of about $4 billion, and that this made it the costliest single tornado in U.S. history.",hybrid,"The 2011 Joplin tornado caused “catastrophic damage” and devastated a large part of the city. The excerpt says it “damaged nearly 8,000 buildings and destroy[ed] over 4,000 houses,” and that “about 25% of Joplin was destroyed” according to the American Red Cross.

It is historically significant because its damage totaled “$2.8 billion,” which the article calls “the costliest tornado in U.S. history” and also “the costliest single tornado in U.S. history.”",pass
"What tiebreaking method was used in the 1900–01 Football League season for clubs level on points, and what did it favor if teams had identical goal difference?","A correct answer must mention the goal average system (goals scored divided by goals conceded) and note that, when goal difference was the same, it favored teams that had conceded fewer goals.",hybrid,"The 1900–01 Football League used **goal average** to separate clubs level on points: clubs were “separated according to **goal average (goals scored divided by goals conceded)**.”

If teams had the same goal difference, “**this system favoured those teams who had conceded fewer goals**.”",pass
"What is Stewart Brand most famous for, and what other organizations did he found besides the Whole Earth Catalog?","A correct answer must state that he is best known as the co-founder and editor of the Whole Earth Catalog, and must mention at least one of the other organizations he founded: the WELL, the Global Business Network, and/or the Long Now Foundation.",hybrid,"Stewart Brand is “best known as the co-founder and editor of the Whole Earth Catalog.” The excerpt also says, “Other organizations he has founded include the WELL, the Global Business Network, and the Long Now Foundation.”

So, he is most famous for the Whole Earth Catalog, and he also founded:
- the WELL
- the Global Business Network
- the Long Now Foundation",pass
"What invention is Alexander Graham Bell credited with patenting, and in what year did he get the first U.S. patent for it?","Correct answer must identify the invention as the first practical telephone and state that he received the first U.S. patent for it in 1876 (March 7, 1876 is acceptable).",hybrid,"Alexander Graham Bell is credited with patenting “the first practical telephone,” and he received “the first U.S. patent for the telephone” in **1876** — specifically, “on March 7, 1876.”",pass
"What is Maine’s capital city, and what is its most populated city?",Correct answer must name Augusta as the capital and Portland as the most populous city.,hybrid,"Maine’s capital city is **Augusta**, and its most populated city is **Portland**. The excerpt says: “**Capital: Augusta**” and “**its most populous city is Portland**.”",pass
"Who most recently won the Associated Press NFL Most Valuable Player Award, and what team is he on?",Correct answer must identify Matthew Stafford and the Los Angeles Rams.,hybrid,"The most recent winner is **Matthew Stafford** of the **Los Angeles Rams**. The excerpt says, “**The most recent winner is quarterback Matthew Stafford of the Los Angeles Rams**.”",pass
"Who was the director of Bad Boys II, and when did it come out?",A correct answer must identify Michael Bay as the director and 2003 as the release year.,hybrid,"The director of **Bad Boys II** was **Michael Bay**. It was released on **July 18, 2003** — the excerpt says: “**Directed by Michael Bay**” and “**Release date July 18, 2003**.”",pass
"According to the lead text, what was Michael Jackson’s last album, and what was notable about its production cost?",A correct answer must name Invincible (2001) and state that it is the most expensive album ever made.,hybrid,"According to the lead text, Michael Jackson’s last album was **_Invincible_ (2001)**, and it is described as **“the most expensive ever made.”**",pass
"Which invention is Alexander Graham Bell known for patenting, and when did he receive the first U.S. patent for that invention?","Correct answer must identify the invention as the first practical telephone and state that he received the first U.S. patent for it in 1876 (March 7, 1876 is acceptable).",hybrid,"Alexander Graham Bell is known for patenting “the first practical telephone.” The excerpt says he “was credited with patenting the first practical telephone” and that he was awarded “the first U.S. patent for the telephone, on March 7, 1876.”",pass
"When was the technical division of Lawson State Community College first established, and what was it originally called?","A correct answer must mention that it was founded in 1949 in Birmingham, Alabama, and that its original name was Wenonah State Technical Institute.",hybrid,"The technical division was first established in **1949**. It was originally called **“Wenonah State Technical Institute”**: the excerpt says, “The technical division of the college was founded as **Wenonah State Technical Institute in Birmingham in 1949**.”",pass
"Who was the American publisher who co-founded Alfred A. Knopf, Inc. and paid special attention to the quality of printing, binding, and design in his books?","Correct answer must identify Alfred Abraham Knopf Sr. (Alfred A. Knopf Sr.) and mention that he was a co-founder of Alfred A. Knopf, Inc.; it should also note his emphasis on the quality of printing, binding, and design in his books.",hybrid,"The American publisher was **Alfred A. Knopf Sr.** The excerpt says: “**Alfred Abraham Knopf Sr. ... was an American publisher**” and that he “**paid special attention to the quality of printing, binding and design in his books**.”",pass
"What did the lead text say was Michael Jackson’s final album, and what special distinction did it have regarding production cost?",A correct answer must name Invincible (2001) and state that it is the most expensive album ever made.,hybrid,"The lead text says Michael Jackson’s final album was **_Invincible_ (2001)**: “**Jackson's final album, Invincible (2001), is the most expensive ever made**.”",pass
"What television roles is Saffron Burrows known for, according to the article?","A correct answer must name at least one of the television roles listed in the lead, such as Lorraine Weller, Dr. Norah Skinner, Detective Serena Stevens, Victoria Hand, Cynthia Taylor, or Dottie Quinn, and identify them as TV characters/roles played by Saffron Burrows.",hybrid,"According to the article, Saffron Burrows is known on television for starring as:

- “Lorraine Weller on *Boston Legal*”
- “Dr. Norah Skinner on *My Own Worst Enemy*”
- “Detective Serena Stevens on *Law & Order: Criminal Intent*”
- “Victoria Hand on *Agents of S.H.I.E.L.D.*”
- “Cynthia Taylor” on the Prime Video series *Mozart in the Jungle*
- “Dottie Quinn” in the Netflix series *You*",pass
"Where does Wisconsin Highway 34 start and finish on its current route, and which cities does it link as a shortcut in central Wisconsin?","A correct answer must state that WIS 34 runs from Wisconsin Rapids at its southern end to Knowlton at I-39 on its northern end, and that it connects Wausau and Wisconsin Rapids as a shortcut route in central Wisconsin.",hybrid,Wisconsin Highway 34’s current route starts at **WIS 13 / WIS 73 in Wisconsin Rapids** and finishes at **I-39 / US 51 in Knowlton**. The article says it “**runs north–south as a shortcut route in central Wisconsin connecting Wausau and Wisconsin Rapids**.”,pass
"Where and when did the technical division of Lawson State Community College begin, and what was its original name?","A correct answer must mention that it was founded in 1949 in Birmingham, Alabama, and that its original name was Wenonah State Technical Institute.",hybrid,"The technical division of Lawson State Community College began **in Birmingham, Alabama, in 1949**. Its original name was **“Wenonah State Technical Institute.”** The excerpt says: “**The technical division of the college was founded as Wenonah State Technical Institute in Birmingham in 1949.**”",pass
"Which American publisher co-founded Alfred A. Knopf, Inc. and was noted for emphasizing the quality of printing, binding, and design in his books?","Correct answer must identify Alfred Abraham Knopf Sr. (Alfred A. Knopf Sr.) and mention that he was a co-founder of Alfred A. Knopf, Inc.; it should also note his emphasis on the quality of printing, binding, and design in his books.",hybrid,"The publisher was **Alfred A. Knopf Sr.** The excerpt says he was “**an American publisher of the 20th century, and co-founder of Alfred A. Knopf, Inc.**” and that he “**paid special attention to the quality of printing, binding and design in his books**.”",pass
"What does the Super Bowl refer to, and in what years did it serve as the NFL season’s final game?",A correct answer must identify the Super Bowl as the annual league championship game of the NFL in the United States and state that it has been the final game of every NFL season since 1966.,hybrid,"The Super Bowl refers to ""the annual league championship game of the National Football League (NFL) of the United States."" The excerpt says it ""has served as the final game of every NFL season since 1966.""

It also notes that it was ""the final game of every American Football League season from 1966 to 1970 prior to the AFL–NFL merger.""",pass
"How many species are there in the genus Morus, and what are the three most common species known by their color-based common names?","A correct answer must state that Morus consists of 19 species and identify the three common species as white mulberry (Morus alba), red mulberry (Morus rubra), and black mulberry (Morus nigra).",hybrid,"The excerpt says that the genus **Morus** “consists of **19 species** of deciduous trees commonly known as mulberries.”

It also says the three most common are known as the **white, red, and black mulberries**, specifically:
- **Morus alba** — white mulberry
- **Morus rubra** — red mulberry
- **Morus nigra** — black mulberry

",pass
"Which TV roles is Saffron Burrows known for, according to the article?","A correct answer must name at least one of the television roles listed in the lead, such as Lorraine Weller, Dr. Norah Skinner, Detective Serena Stevens, Victoria Hand, Cynthia Taylor, or Dottie Quinn, and identify them as TV characters/roles played by Saffron Burrows.",hybrid,"According to the article, Saffron Burrows is known on television for starring as:

- “**Lorraine Weller on Boston Legal**”
- “**Dr. Norah Skinner on My Own Worst Enemy**”
- “**Detective Serena Stevens on Law & Order: Criminal Intent**”
- “**Victoria Hand on Agents of S.H.I.E.L.D.**”
- “**Cynthia Taylor on the Prime Video series Mozart in the Jungle**”
- “**Dottie Quinn in the Netflix series You**”",pass
"Who came up with the Norman Gunston character, and what sort of TV persona was he?",Correct answer must identify Garry McDonald as the creator/performer and describe Norman Gunston as a satirical fictional TV character (or satirical TV character).,hybrid,"The Norman Gunston character was “originally conceived for a sketch by comedy writer **Wendy Skelcher**” and was portrayed by Garry McDonald.

He was “a **dull and talentless local TV reporter from the industrial city of Wollongong**,” and later became “the satirical TV character” known as “**the little Aussie bleeder**.”",pass
What charitable causes did Mary Elizabeth Butt mainly focus on?,Correct answer must mention both: care of emotionally disturbed children and development of library services. Minor paraphrase is acceptable.,hybrid,Mary Elizabeth Butt’s philanthropic efforts were “particularly focused on the care of emotionally disturbed children and the development of library services.”,pass
"When was Warner Records founded, and which company was it originally a division of?","A correct answer must state that Warner Records was founded on March 19, 1958, and that it began as the recorded music division of Warner Bros. Pictures (the American film studio).",hybrid,"Warner Records was founded on **March 19, 1958**. It was originally “**the recorded music division of the American film studio Warner Bros. Pictures**.”",pass
"How many species belong to the genus Morus, and what are the three most common ones called using color-based common names?","A correct answer must state that Morus consists of 19 species and identify the three common species as white mulberry (Morus alba), red mulberry (Morus rubra), and black mulberry (Morus nigra).",hybrid,"The excerpt says **“the genus has 64 subordinate taxa”** and that **“the three most common are referred to as white, red, and black”** — specifically **Morus alba**, **M. rubra**, and **M. nigra**.",fail
"What major international medal did Nikoleta Kyriakopoulou win at the 2015 World Championships in Beijing, and what height did she clear to earn it?",A correct answer must mention that she won the bronze medal and that she cleared 4.80 metres (4.80m) at the 2015 World Championships in Beijing.,hybrid,"Nikoleta Kyriakopoulou won the **bronze medal** at the 2015 World Championships in Beijing, and she earned it by jumping **4.80 m**. The excerpt says she “**won the bronze medal at the World Championships in Beijing in 2015 jumping 4.80m**.”",pass
"Who is the founder of Nuclear Blast Records, and when and where was the label founded?",A correct answer must name Markus Staiger and state that the label was founded in 1987 in Donzdorf (Germany).,hybrid,Nuclear Blast Records was founded by **Markus Staiger**. The article says it was “**founded in 1987 by Markus Staiger in Donzdorf**.”,pass
"Who is the creator of Norman Gunston, and what type of television character was he?",Correct answer must identify Garry McDonald as the creator/performer and describe Norman Gunston as a satirical fictional TV character (or satirical TV character).,hybrid,Norman Gunston was created by **Wendy Skelcher and Garry McDonald**. The article says he was an **“Australian TV character”** and specifically describes him as **“a satirical TV character performed by Australian actor and comedian Garry McDonald.”**,pass
"Which Justin Bieber song was the number one song on the Billboard Year-End Hot 100 singles chart for 2016, and how many nonconsecutive weeks did it spend at No. 1 on the weekly Billboard Hot 100 in 2016?","A correct answer must name ""Love Yourself"" and state that it spent two nonconsecutive weeks at number one on the weekly Billboard Hot 100 during 2016.",hybrid,"The Justin Bieber song was **""Love Yourself""**. The excerpt says it “**came in at number one**” on the Billboard Year-End Hot 100 singles of 2016, and it “**spent a total of two nonconsecutive weeks at the top position of the Billboard Hot 100 during 2016**.”",pass
"At the 2015 World Championships in Beijing, what medal did Nikoleta Kyriakopoulou win internationally, and what height did she clear?",A correct answer must mention that she won the bronze medal and that she cleared 4.80 metres (4.80m) at the 2015 World Championships in Beijing.,hybrid,"At the 2015 World Championships in Beijing, Nikoleta Kyriakopoulou won the **bronze medal** in pole vault, and she cleared **4.80 m**.

The excerpt says she “**won the bronze medal at the World Championships in Beijing in 2015 jumping 4.80m**.”",pass
"How many championships did Michael Jordan win as a member of the Chicago Bulls, and in what years did they happen?","A correct answer must state that he won six NBA championships with the Chicago Bulls, and it should name the years as 1991, 1992, 1993, 1996, 1997, and 1998.",hybrid,"Michael Jordan won **six NBA championships** as a member of the Chicago Bulls.

The years were:
- **1991**
- **1992**
- **1993**
- **1996**
- **1997**
- **1998**

The excerpt says he won ""six NBA championships with the Chicago Bulls"" and lists them as ""1991–1993, 1996–1998.""",pass
"According to the lead text, roughly how many civilian deaths did World War I cause?","A correct answer must state that the civilian death toll was about 6 to 13 million. Responses should mention civilian deaths specifically, not total deaths or military deaths.",hybrid,"According to the lead text, the civilian death toll in World War I was **“about six to 13 million.”**",pass
"What Justin Bieber song ranked first on the Billboard Year-End Hot 100 singles list in 2016, and for how many nonconsecutive weeks was it at the top of the weekly Billboard Hot 100 that year?","A correct answer must name ""Love Yourself"" and state that it spent two nonconsecutive weeks at number one on the weekly Billboard Hot 100 during 2016.",hybrid,"The song was **""Love Yourself""** by Justin Bieber. The excerpt says it ""came in at number one, spending a total of **two nonconsecutive weeks** at the top position of the Billboard Hot 100 during 2016.""",pass
"What historical event is shown in the Bayeux Tapestry, and who was the leader of the Norman forces in it?","Correct answer must mention the Norman Conquest of England in 1066 and identify William, Duke of Normandy, as the leader of the Norman side.",hybrid,"The Bayeux Tapestry depicts “the events leading up to the Norman Conquest of England in 1066 … culminating in the Battle of Hastings.” The leader of the Norman forces was “William, Duke of Normandy” — also described as “William of Normandy” in the Battle of Hastings article.",pass
What is Alexander Kostritsyn’s alias on PokerStars and Full Tilt Poker?,"Correct answer must identify both aliases mentioned in the lead: ""joiso"" on PokerStars and ""PostflopAction"" on Full Tilt Poker.",hybrid,Alexander Kostritsyn plays under the alias **“joiso” on PokerStars** and **“PostflopAction” on Full Tilt Poker**. The excerpt says: “**Kostritsyn plays under the alias joiso on PokerStars and PostflopAction on Full Tilt Poker.**”,pass
"About how many civilians were killed as a result of World War I, according to the lead text?","A correct answer must state that the civilian death toll was about 6 to 13 million. Responses should mention civilian deaths specifically, not total deaths or military deaths.",hybrid,"According to the lead text, the civilian death toll was “about six to 13 million.”",pass
